eng_dep_surp,zh_dep_surp,
4.702864,6.1578684,1.4550044
5.2235193,3.8678622,-1.3556571
4.1318703,5.9818206,1.8499503
4.2785616,1.137661,-3.1409006
3.9111161,3.3916497,-0.5194664
4.7152476,5.9898586,1.274611
3.9989228,3.6788476,-0.3200752
5.7049494,1.658982,-4.0459674
4.4750533,5.777278,1.3022247
4.3727846,3.7958946,-0.57689
5.321762,6.1990705,0.8773085
2.8023834,5.9348183,3.1324349
5.9345765,5.9348183,0.0002418
4.537881,2.7874987,-1.7503823
4.702864,5.718334,1.01547
4.394889,5.9348183,1.5399293
4.055254,6.1578684,2.1026144
4.9765797,5.867935,0.8913553
3.5315819,4.610543,1.0789611
2.5615487,1.6523312,-0.9092175
4.2371154,1.658982,-2.5781334
3.6134553,5.187105,1.5736497
4.2655845,6.04153,1.7759455
4.0704165,3.037059,-1.0333575
3.0811381,2.7602558,-0.3208823
0.36410666,6.1155834,5.75147674
4.3800535,4.6055923,0.2255388
4.8029566,6.071141,1.2681844
3.9057834,5.3846455,1.4788621
6.552162,5.9348183,-0.6173437
2.7693477,5.076877,2.3075293
4.5843143,4.0943117,-0.4900026
3.7085223,5.886589,2.1780667
4.8029566,5.777278,0.9743214
0.36410666,5.9348183,5.57071164
5.4150105,3.858526,-1.5564845
6.4011765,5.958043,-0.4431335
3.430358,6.1990705,2.7687125
6.1168866,3.5518384,-2.5650482
4.2371154,1.658982,-2.5781334
2.631394,4.8716683,2.2402743
5.16272,5.955969,0.793249
4.2547255,3.3842068,-0.8705187
6.722369,3.7321,-2.990269
1.5488051,1.7639184,0.2151133
5.724704,3.637752,-2.086952
3.4367576,6.177722,2.7409644
3.9057834,5.919613,2.0138296
4.542031,3.8027732,-0.7392578
3.0005455,4.1920004,1.1914549
4.769674,5.9348183,1.1651443
4.0222,6.1990705,2.1768705
3.7478285,4.1920004,0.4441719
3.2868047,5.4764724,2.1896677
3.5986426,6.1578684,2.5592258
2.6128054,4.536529,1.9237236
4.300277,6.1155834,1.8153064
2.3598902,2.992147,0.6322568
5.581466,5.748208,0.166742
5.9151015,5.6963525,-0.218749
5.732861,5.477618,-0.255243
3.359884,6.39514,3.035256
2.6128054,4.759579,2.1467736
