eng_surp,zh_surp,
1.4044223,1.7983218,0.3938995
5.840043,3.497618,-2.342425
2.7389264,5.630717,2.8917906
5.840043,1.6189569,-4.2210861
2.7389264,1.6189569,-1.1199695
6.483466,2.6656568,-3.8178092
4.4134035,2.0009315,-2.412472
3.691493,4.787219,1.095726
1.4044223,5.0596094,3.6551871
1.4044223,3.497618,2.0931957
3.4221182,2.0009315,-1.4211867
2.1681285,2.6901846,0.5220561
6.945077,2.0009315,-4.9441455
3.7019696,4.4676676,0.765698
3.0391846,5.3656597,2.3264751
3.7019696,4.4676676,0.765698
1.4044223,3.497618,2.0931957
3.0391846,5.0596094,2.0204248
2.0172307,5.630717,3.6134863
3.8160279,4.2450304,0.4290025
3.7019696,3.497618,-0.2043516
1.9606384,5.2088337,3.2481953
5.840043,3.497618,-2.342425
2.1681285,5.630717,3.4625885
5.840043,3.497618,-2.342425
6.945077,2.0009315,-4.9441455
2.4984846,5.630717,3.1322324
5.2909975,2.0009315,-3.290066
2.7974894,4.9487543,2.1512649
6.083623,5.630717,-0.452906
3.5642424,2.215504,-1.3487384
2.291965,1.7983218,-0.4936432
2.5903785,2.9538004,0.3634219
2.1681285,2.1462324,-0.0218961
4.316747,3.497618,-0.819129
1.4044223,3.497618,2.0931957
2.1253185,3.497618,1.3722995
2.1681285,2.1462324,-0.0218961
1.8430461,2.6656568,0.8226107
2.918483,1.6189569,-1.2995261
2.8984623,5.630717,2.7322547
1.9804219,2.9804463,1.0000244
2.291965,1.7983218,-0.4936432
4.9508905,5.2088337,0.2579432
2.2074938,3.497618,1.2901242
3.7019696,4.4676676,0.765698
5.840043,3.497618,-2.342425
5.840043,3.497618,-2.342425
2.2007825,2.9538004,0.7530179
5.464615,5.630717,0.166102
3.991511,2.7274618,-1.2640492
2.5248864,2.1462324,-0.378654
5.840043,5.630717,-0.209326
5.840043,2.0009315,-3.8391115
5.4972258,1.6189569,-3.8782689
2.7011375,4.4676676,1.7665301
1.4044223,5.2088337,3.8044114
2.1681285,4.5773764,2.4092479
1.4044223,5.50172,4.0972977
2.1681285,5.630717,3.4625885
2.4457333,4.4676676,2.0219343
1.4044223,4.4074154,3.0029931
2.415916,4.8605194,2.4446034
5.840043,2.0009315,-3.8391115
3.010745,5.2088337,2.1980887
1.8430461,1.6189569,-0.2240892
4.0793896,5.50172,1.4223304
5.840043,2.7274618,-3.1125812
2.6304026,2.0009315,-0.6294711
2.918483,1.6189569,-1.2995261
2.5903785,2.9538004,0.3634219
4.540641,5.2088337,0.6681927
1.8430461,4.669745,2.8266989
1.4044223,3.1927414,1.7883191
2.2074938,2.0287743,-0.1787195
1.4044223,4.173788,2.7693657
5.840043,5.2088337,-0.6312093
1.4044223,3.497618,2.0931957
1.4044223,4.407955,3.0035327
4.2896705,4.4676676,0.1779971
5.840043,3.497618,-2.342425
2.2250817,5.3656597,3.140578
3.109845,4.4676676,1.3578226
2.4984846,5.630717,3.1322324
2.141092,2.0009315,-0.1401605
2.7389264,3.0190659,0.2801395
