eng_ngram_surp,zh_ngram_surp,
5.4972258,5.630717,0.1334912
1.4044223,5.50172,4.0972977
5.0298457,4.5773764,-0.4524693
2.554887,3.9682677,1.4133807
1.4044223,4.2450304,2.8406081
3.010745,4.20795,1.197205
3.010745,4.20795,1.197205
1.9052911,4.5012493,2.5959582
2.6782155,1.6189569,-1.0592586
6.945077,1.7531074,-5.1919696
4.6668863,5.630717,0.9638307
3.796496,5.3656597,1.5691637
1.8430461,3.7482193,1.9051732
4.991209,2.7688878,-2.2223212
2.1681285,4.4676676,2.2995391
6.945077,1.7531074,-5.1919696
2.2250817,3.0190659,0.7939842
1.851445,4.8605194,3.0090744
2.1681285,4.4676676,2.2995391
1.4044223,2.0009315,0.5965092
2.1253185,5.2088337,3.0835152
3.9271984,5.3656597,1.4384613
5.2192087,5.50172,0.2825113
6.0227604,5.3656597,-0.6571007
6.945077,5.630717,-1.31436
1.4044223,2.0009315,0.5965092
3.7358136,5.0596094,1.3237958
1.4044223,2.0009315,0.5965092
2.2074938,2.0287743,-0.1787195
3.4533527,5.2088337,1.755481
1.9052911,4.5012493,2.5959582
2.2253556,2.9719927,0.7466371
2.2074938,2.0287743,-0.1787195
1.8430461,3.7482193,1.9051732
4.3664193,5.50172,1.1353007
2.4488244,2.7304764,0.281652
1.4044223,2.0009315,0.5965092
1.851445,2.1462324,0.2947874
4.597189,5.3656597,0.7684707
3.1454947,4.7245216,1.5790269
2.226341,2.9668624,0.7405214
5.0298457,4.5773764,-0.4524693
1.4044223,2.0009315,0.5965092
0.8140271,4.787219,3.9731919
4.307396,5.3656597,1.0582637
2.291965,1.7983218,-0.4936432
2.6782155,1.6189569,-1.0592586
6.618417,4.2081127,-2.4103043
3.7612042,5.3656597,1.6044555
5.0298457,4.5773764,-0.4524693
2.226341,4.011261,1.78492
1.728569,4.173788,2.445219
2.1681285,4.4676676,2.2995391
1.9052911,4.5012493,2.5959582
2.1253185,2.7147827,0.5894642
4.7338367,5.3656597,0.631823
4.2746644,2.9742658,-1.3003986
5.540118,5.3656597,-0.1744583
6.945077,5.630717,-1.31436
3.156974,5.630717,2.473743
5.0298457,4.5773764,-0.4524693
4.991209,2.7688878,-2.2223212
4.991209,2.7688878,-2.2223212
3.8039806,5.3656597,1.5616791
5.74051,5.630717,-0.109793
3.010745,4.098564,1.087819
2.7974894,3.2031608,0.4056714
4.991209,2.7688878,-2.2223212
4.991209,2.7688878,-2.2223212
3.010745,4.62111,1.610365
4.307396,5.3656597,1.0582637
6.945077,1.5535603,-5.3915167
1.4044223,5.630717,4.2262947
3.7097607,4.8605194,1.1507587
2.2074938,2.0287743,-0.1787195
2.2074938,2.0287743,-0.1787195
2.1681285,4.4676676,2.2995391
1.4044223,2.0009315,0.5965092
4.115872,2.9488792,-1.1669928
3.8039806,5.630717,1.8267364
2.2074938,2.0287743,-0.1787195
2.1253185,5.630717,3.5053985
3.6630464,3.5254197,-0.1376267
2.1253185,2.7147827,0.5894642
1.4044223,2.0009315,0.5965092
5.4342823,4.8605194,-0.5737629
1.7507426,4.62111,2.8703674
2.1618943,5.630717,3.4688227
5.171985,5.0596094,-0.1123756
4.7547717,5.2088337,0.454062
2.1681285,4.4676676,2.2995391
5.5708637,5.630717,0.0598533
6.945077,5.630717,-1.31436
2.2074938,2.0287743,-0.1787195
4.700704,5.50172,0.801016
4.331524,5.630717,1.299193
6.945077,5.630717,-1.31436
2.918483,1.6189569,-1.2995261
5.80427,5.630717,-0.173553
2.1274493,5.630717,3.5032677
3.010745,4.20795,1.197205
1.4044223,2.0009315,0.5965092
1.4044223,5.50172,4.0972977
4.624025,2.7688878,-1.8551372
3.6630464,3.5254197,-0.1376267
2.2250817,4.20795,1.9828683
2.291965,1.7983218,-0.4936432
5.119265,4.787219,-0.332046
3.060125,4.787219,1.727094
5.4342823,4.8605194,-0.5737629
2.2074938,2.0287743,-0.1787195
2.6782155,1.6189569,-1.0592586
4.484542,4.8605194,0.3759774
6.945077,5.630717,-1.31436
4.8865395,5.630717,0.7441775
2.4984846,4.285574,1.7870894
5.65959,5.3656597,-0.2939303
2.4984846,2.467316,-0.0311686
4.89071,2.9730263,-1.9176837
1.4044223,4.787219,3.3827967
6.945077,5.50172,-1.443357
5.684924,5.630717,-0.054207
4.991209,2.7688878,-2.2223212
4.991209,2.7688878,-2.2223212
4.1720757,5.50172,1.3296443
3.8269093,5.2088337,1.3819244
4.991209,2.7688878,-2.2223212
2.6782155,1.6189569,-1.0592586
4.1884665,5.3656597,1.1771932
2.1681285,4.4676676,2.2995391
2.291965,1.7983218,-0.4936432
6.945077,5.630717,-1.31436
4.6693964,5.630717,0.9613206
3.6780522,5.3656597,1.6876075
2.9645379,5.50172,2.5371821
3.010745,4.62111,1.610365
4.26563,2.343508,-1.922122
2.1681285,4.4676676,2.2995391
5.2704287,4.4676676,-0.8027611
1.851445,2.1462324,0.2947874
5.0298457,4.5773764,-0.4524693
4.8865395,5.2088337,0.3222942
4.654271,2.7274618,-1.9268092
2.4591918,3.0031297,0.5439379
2.6782155,1.6189569,-1.0592586
6.945077,5.0596094,-1.8854676
5.0128646,5.50172,0.4888554
4.307396,5.3656597,1.0582637
5.425752,2.9538004,-2.4719516
4.307396,5.3656597,1.0582637
3.6729465,4.669745,0.9967985
4.8865395,5.2088337,0.3222942
4.991209,2.7688878,-2.2223212
2.4591918,5.0596094,2.6004176
1.8430461,3.7482193,1.9051732
5.0298457,4.5773764,-0.4524693
4.307396,5.3656597,1.0582637
4.991209,2.7688878,-2.2223212
3.6630464,5.2088337,1.5457873
1.728569,4.173788,2.445219
3.7123814,5.50172,1.7893386
1.4044223,2.0009315,0.5965092
5.2412934,5.630717,0.3894236
