,sent_type,university,sent_id,aligned_to,original_sentence,translation,word_id,first_cs_word_form,first_cs_word_translation,frequency_negative_ln_first_cs_word_trans,surprisal_first_cs_word_trans,pos_tag_first_cs_word_trans,governor_first_cs_word_trans,deprel_first_cs_word_trans,surprisal_values,average_surprisal,bilingual_corpus_frequency_negative_log_first_cs_word,bilingual_corpus_frequency_negative_log_first_cs_word_trans,length_first_cs_word_form,length_first_cs_word_trans,dependency_distance,if_it_is_root,if_previous_word_is_punctuation,surprisal_of_previous_word
67,non-code-switch,CMU,5643,CMU_79, ,空间 更大 ， 且 有 空调 ， 窗外 视野 很 好 。,2,,更大,43.856196514391605,3.319821,JJ,5,dep,4.558663 3.319821 1.231957 1.779465 1.530602 4.176 0.96393 6.112089 3.049867 3.062514 3.559633 1.655329,2.916655833333333,,11.319097967990071,,2,3,0,0.0,4.558663
69,non-code-switch,CMU,5238,CMU_83, ,周围 邻居 极其 友好 ， 治安 也 非常 好 ， 居住 环境 安全 。,2,,邻居,38.90652338424472,3.498111,NN,4,nsubj,5.114965 3.498111 5.291908 5.509093 0.7922053 5.154267 2.951572 2.780048 2.029384 0.5531858 4.27807 1.931543 3.298685 1.154355,3.1669565785714284,,9.709660055555974,,2,2,0,0.0,5.114965
71,non-code-switch,CMU,6189,CMU_84, ,近期 换 过 四 个 轮胎 。,2,,换,37.31126928547845,5.275565,VV,0,root,4.35909 5.275565 3.995109 2.586403 0.9274493 3.359314 1.307039,3.1157099,,9.016512874996026,,1,0,1,0.0,4.35909
73,non-code-switch,CMU,1032,CMU_85, ,客厅 不 住 人 ， 是 日常 居家 活动 区域 ， 且 家具 电视 音响 设施 齐全 ， 餐厅 厨房 亦然 。,7,,日常,36.873934766153795,4.8254410000000005,JJ,9,amod,6.258925 3.365124 4.292892 2.029766 0.6607656 1.683343 4.825441 6.259551 3.910074 2.691548 0.7051303 2.31338 5.455605 4.472622 6.395509 2.255186 2.34114 0.2701534 4.978683 3.555014 6.381989 0.2200541,3.4237225181818185,,10.402807236115915,,2,2,0,0.0,1.683343
75,non-code-switch,CMU,5765,CMU_87, ,新生 在 寻找 一 室 一 厅 的 公寓 有 推荐 的 房屋 公司 吗 ？,13,,房屋,36.7830685525605,9.239466,NN,14,compound:nn,4.728764 1.89116 3.83793 1.435367 4.507222 1.20412 0.2688453 0.9777236 2.866686 2.573194 4.893309 1.120764 9.239466 3.454488 5.537659 0.1054398,3.04013360625,,9.709660055555974,,2,1,0,0.0,1.1207639999999999
77,non-code-switch,CMU,861,CMU_89, ,押金 为 一 个 月 的 房租 。,4,,个,33.018900592138976,5.314822,M,3,mark:clf,7.042348 2.620523 1.99802 5.314822 1.215996 0.8548493 4.116363 1.011549,3.0218087875,,5.840544551139102,,1,1,0,0.0,1.9980200000000001
79,non-code-switch,CMU,2566,CMU_92, ,环境 安全 。,1,,环境,34.56292429723837,4.415995,NN,2,nsubj,4.415995 3.238988 1.154355,2.936446,,7.986893457814867,,2,1,0,,
81,non-code-switch,CMU,663,CMU_93, ,匹 大 时间 稍 久 一点 ， 坐 公交 也 很 方便 。,8,,坐,37.0239873065577,4.453309,VV,12,dep,5.086936 1.532987 5.31912 4.265035 0.4988647 2.901322 0.7476568 4.453309 4.529391 3.005968 2.325765 2.233789 0.7383841,2.8952713538461534,,9.179031804493803,,1,4,0,1.0,2.901322
83,non-code-switch,CMU,4512,CMU_95, ,如果 有 特殊 需要 ， 也 可以 跟 房东 要求 。,9,,房东,42.310301177932,6.117573999999999,NN,10,nmod:prep,2.949325 1.728947 2.852011 1.369472 0.8846066 1.827528 1.419058 2.929822 6.117574 2.364898 1.269627,2.3375335090909086,,8.29867308184571,,2,1,0,0.0,2.929822
85,non-code-switch,CMU,1739,CMU_97, ,松鼠 山 治安 很 好 ， 所以 不 需要 担心 晚上 步行 回家 。,1,,松鼠,43.06563848265615,5.269867,NN,3,compound:nn,5.269867 3.451721 5.584745 3.88912 3.559633 1.364868 1.788241 2.085806 1.002823 2.465847 4.552621 4.559198 2.449478 0.5435368,3.040536057142857,,9.932803606870179,,2,2,0,,
87,non-code-switch,CMU,1997,CMU_98, ,地段 非常 好 ！,3,,好,33.99205262349187,1.782907,VA,0,root,6.258925 4.249816 1.782907 2.268026,3.6399185,,6.786498474836817,,1,0,1,0.0,4.249816
89,non-code-switch,CMU,4577,CMU_99, ,因为 本人 暑假 回国 ， 希望 能把 卧室 短期 出租 。,7,,能把,46.661337839669116,10.16642,VV,6,ccomp,2.896955 4.128203 6.109864 2.803242 0.6067061 2.82366 10.51329 5.542165 5.344136 2.982512 1.200815,4.086504372727273,,12.012245148550015,,2,1,0,0.0,2.82366
91,non-code-switch,CMU,2208,CMU_102, ,全新 装修 厨房 ， 大理石 台面 ， 新 橱柜 ；,5,,大理石,40.68639132006611,5.730052,NN,6,compound:nn,4.867811 3.301095 5.710649 0.9667723 5.730052 6.244648 0.6980917 3.429812 7.217 3.22053,4.1386461,,12.012245148550015,,3,1,0,1.0,5.710649
93,non-code-switch,CMU,2557,CMU_103, ,有 洁癖 和 特别 乱 的 妹子 不 接受 。,2,,洁癖,42.85585251307183,5.0902389999999995,NN,7,conj,2.715695 5.090239 2.235302 3.848333 5.312787 1.529852 6.44877 3.272321 2.327142 1.125853,3.3906294000000003,,11.319097967990071,,2,5,0,0.0,2.715695
95,non-code-switch,CMU,4120,CMU_107, ,声音 嘛 ， 我们 都 是 不 吵 不 闹 的 好 孩子 ， 天天 默默 写 作业 ， 音乐 视频 插 耳机 ， 所以 安静 又 隐私 。,12,,好,33.99205262349187,3.851872,JJ,13,amod,4.813935 6.656343 0.928875 1.699935 1.658584 0.7133344 2.482905 6.313288 2.229612 5.038912 1.506843 3.851872 5.123463 0.7740603 5.364502 6.133992 4.554464 3.180776 0.5855799 4.265135 2.770706 5.929714 3.834973 0.9024274 2.504297 5.639198 2.64273 6.249176 1.090913,3.4289843103448283,,6.786498474836817,,1,1,0,0.0,1.506843
97,non-code-switch,CMU,2484,CMU_108, ,客厅 超大 ， 并且 很 独立 。,2,,超大,41.199202387891695,6.321008999999999,JJ,6,dep,6.258925 6.321009 2.144395 2.404721 2.776013 3.954377 1.399013,3.608350428571428,,9.304194947447806,,2,4,0,0.0,6.258925
99,non-code-switch,CMU,3568,CMU_110, ,一 楼 为 共用 客厅 、 厨房 、 餐厅 。,5,,客厅,39.62193529485629,5.57867,NN,9,conj,2.791026 5.695485 1.326596 10.51329 5.57867 0.8699647 1.623803 0.3283531 1.592957 2.247687,3.25678318,,7.6302185138761365,,2,4,0,0.0,10.51329
101,non-code-switch,CMU,6864,CMU_117, ,欢迎 索要 其他 细节 和 照片 。,4,,细节,37.65285448747464,3.5305470000000003,NN,6,conj,5.269867 7.02551 3.480854 3.530547 1.737055 4.064455 0.7281772,3.6909236000000005,,10.91363285988191,,2,2,0,0.0,3.480854
103,non-code-switch,CMU,7309,CMU_119, ,已经 买 过 新 床 了 。,4,,新,33.70093484881479,3.683476,JJ,5,amod,4.291057 4.620361 2.160369 3.683476 4.566015 3.0196 1.533697,3.4106535714285715,,8.06100142996859,,1,1,0,0.0,2.1603689999999998
105,non-code-switch,CMU,6529,CMU_124, ,现金 卡 135 .,1,,现金,37.463376121006604,5.3368139999999995,NN,2,nsubj,5.336814 1.745233 10.51329 3.135041,5.1825944999999995,,11.319097967990071,,2,1,0,,
107,non-code-switch,CMU,4618,CMU_125, ,大家 都 很 爱 干净 ， 房子 两 周 一 次 大扫除 。,7,,房子,37.40390285781066,5.295212,NN,12,nsubj,4.683601 0.908485 1.545445 2.863891 3.528852 0.3454795 5.295212 3.489668 2.286637 3.611013 1.366488 7.494512 0.6720979,2.930106261538462,,7.084991463392812,,2,5,0,1.0,3.5288519999999997
109,non-code-switch,CMU,3873,CMU_134, ,免费 赠送 厨具 以及 卧室 内 的 家具 ， 包括 床 ， 写字台 ， 椅子 等 。,5,,卧室,40.2431744402093,5.2126470000000005,NN,8,nmod,4.772542 2.566144 6.614397 2.59014 5.212647 1.644255 0.8776675 3.707271 0.9328119 1.67194 4.795505 0.8761566 7.478866 0.945592 5.676741 1.833236 0.9092339,3.123832111764705,,7.1602148846304,,2,3,0,0.0,2.5901400000000003
111,non-code-switch,CMU,1456,CMU_140, ,房东 为人 很 好 而且 很 愿意 认识 不同 背景 的 朋友 。,12,,朋友,36.046475536791384,3.472625,NN,4,dobj,6.258925 5.199731 2.75017 3.559633 4.038889 2.416954 3.200636 3.878769 2.817389 2.972882 0.2098398 3.472625 0.9470057,3.209496038461538,,8.54650924575029,,2,8,0,0.0,0.20983979999999997
113,non-code-switch,CMU,4113,CMU_143, ,根据 需要 可以 商议 留下 家具 ， 其他 详情 均 可 商议 。,11,,可,34.18355738652351,3.177355,VV,12,aux:modal,2.356962 2.664523 1.611747 5.849227 3.706498 5.701721 0.9882128 3.145548 5.745151 4.360833 3.177355 4.92008 1.149027,3.4905295999999995,,7.25007121375226,,1,1,0,0.0,4.360833
115,non-code-switch,CMU,4621,CMU_145, ,冬天 取暖 用 电 可 自行 开关 ， 房东 说 每 户 平均 $45-55/month 。,10,,说,33.08684639579736,3.682665,VV,7,conj,5.035784 3.388371 1.480007 5.538884 3.362456 2.798019 5.79223 0.8781608 5.828015 3.682665 3.881262 5.732052 3.203939 10.51329 1.427697,4.16952212,,8.485884623933856,,1,3,0,0.0,5.828015
117,non-code-switch,CMU,2055,CMU_146, ,非常 安静 安全 的 社区 ， 房子 坐落 地势 平缓 的 地面 ， 入住 舒适 程度 高 、 性价比 高 。,19,,性价比,42.71850039574064,5.974737,AD,20,advmod,4.495176 3.504291 4.70753 0.9534473 4.128637 0.8258563 5.400195 3.939991 6.215386 1.792788 1.752113 3.720819 1.645779 5.275054 5.476492 1.974584 2.467751 0.9265711 5.974737 0.1876399 1.42875,3.1806470285714274,,8.485884623933856,,3,1,0,1.0,2.467751
119,non-code-switch,CMU,3946,CMU_150, ,屋里 家具 ： 一 张 床 ， 书桌 台灯 及 椅子 ， 自 带 书柜 ， 独立 衣帽间 。,15,,书柜,45.1625029188577,7.191186,NN,14,dobj,5.960147 5.552108 2.54538 2.337307 2.436018 2.534563 0.3565473 7.222059 7.181132 2.965348 5.631511 0.90309 3.115969 4.49099 7.191186 0.8293038 4.061492 7.759223 2.030045,3.9528115315789467,,10.625950787430126,,2,1,0,0.0,4.49099
121,non-code-switch,CMU,4608,CMU_151, ,硬木 地板 ， 不用 担心 清理 地毯 ；,6,,清理,37.49153028834172,3.891725,VV,5,ccomp,6.527233 1.661189 1.49305 4.443378 1.413452 3.891725 5.963954 2.328455,3.4653045,,10.91363285988191,,2,1,0,0.0,1.4134520000000002
123,non-code-switch,CMU,6208,CMU_156, ,剩余 物品 已 更新 ！,1,,剩余,37.01418266242921,4.938874,JJ,2,amod,4.938874 3.804825 3.162226 3.671227 4.8007,4.0755704,,12.012245148550015,,2,1,0,,
125,non-code-switch,CMU,1964,CMU_162, ,有 兴趣 请 联系 ymin .,2,,兴趣,36.46474310429932,4.139023,NN,1,dobj,2.715695 4.139023 5.214319 3.53085 10.51329 3.135041,4.874703,,8.578257944064871,,2,1,0,0.0,2.715695
127,non-code-switch,CMU,579,CMU_170, ,公共 区域 很 大 ， 吃 火锅 很 合适 ！,1,,公共,35.83676799432036,4.455366000000001,JJ,2,amod,4.455366 2.399191 3.978339 3.383542 1.350056 3.886795 4.122541 4.423516 3.22864 4.039858,3.5267844000000004,,10.066334999494703,,2,1,0,,
129,non-code-switch,CMU,2018,CMU_171, ,优先 租 一 年 的 同学 。,5,,的,29.81785800679621,0.9528665999999999,DEG,3,case,5.415995 4.168938 2.043456 1.81728 0.9528666 4.615898 0.8426741,2.8367296714285715,,4.901549025571191,,1,2,0,0.0,1.81728
131,non-code-switch,CMU,3441,CMU_177, ,银行 汇款 请 预先 提供 所有 汇款 所 需 的 必须 信息 （ 银行 帐号 、 开户 人 、 账户 类型 等等 ） 。,11,,必须,34.223501818135205,4.908241,JJ,12,amod,4.772542 4.046355 4.564137 5.443566 2.780056 2.99891 6.242238 3.479397 3.843752 3.148139 4.908241 4.669862 2.012358 5.036189 6.364805 1.715605 6.266691 0.3227735 0.4196835 6.727654 4.56077 4.024316 1.427197 0.5834635,3.7649458541666663,,10.402807236115915,,2,1,0,0.0,3.148139
133,non-code-switch,CMU,3533,CMU_178, ,一 分 价格 一 分 货 。,5,,分,34.41043946058327,2.9704759999999997,VV,0,root,2.791026 3.344597 5.508794 3.503712 2.970476 4.415143 1.479903,3.430521571428572,,10.066334999494703,,1,0,1,0.0,3.503712
135,non-code-switch,CMU,6074,CMU_180, ,这 就 是 他 告诉 我 的 具体 路程 。,8,,具体,34.82318080946561,4.1502349999999995,JJ,9,amod,2.328403 2.786562 2.588736 2.666735 3.799859 1.672098 1.176091 4.150235 4.535868 0.7646087,2.646919570000001,,8.680040638374813,,2,1,0,0.0,1.176091
137,non-code-switch,CMU,1783,CMU_185, ,如果 租 满 七 个 月 ， 房租 好 商量 。,3,,满,37.246088813206775,3.815936,JJ,6,amod,2.949325 5.245065 3.815936 4.32125 1.134867 1.095149 0.7572108 6.162775 4.540328 4.039603 1.119376,3.1982622545454547,,11.319097967990071,,1,3,0,0.0,5.245065
139,non-code-switch,CMU,524,CMU_190, ,价格 好 商量 ， 根据 需求 可 送 或者 低价 卖 部分 家居 ， 也 可 拎包 入住 。,10,,低价,45.75213096268338,4.965261,AD,11,advmod,5.177113 4.486372 4.039603 0.5925668 3.172858 3.624055 3.553995 4.653283 4.466999 4.965261 2.789452 3.898109 5.822164 1.375329 2.08557 1.817664 10.51329 5.243498 0.9292497,3.852970078947368,,9.815020571213797,,2,1,0,0.0,4.4669989999999995
141,non-code-switch,CMU,4760,CMU_193, ,第三 个 卧室 较 大 ， 每 月 租金 是 $615 美金 全 包 ， 包括 网 ， 水 ， 电 ， 气 ， 房租 ， 停车 。,8,,月,32.88193675789676,3.3681940000000004,NN,9,compound:nn,10.51329 2.7135 4.559043 4.53318 4.054528 1.399947 3.402495 3.368194 6.681004 1.974358 10.51329 4.898253 4.814417 4.892569 0.9694159 2.480381 4.22817 1.360551 4.45478 1.409803 4.871727 2.485719 4.928097 2.324502 6.054052 0.6983135 5.424829 1.085416,3.967636585714285,,7.885110763504925,,1,1,0,0.0,3.4024949999999996
143,non-code-switch,CMU,1628,CMU_201, ,有 两 个 卧室 出租 ， 都 有 家具 。,4,,卧室,40.2431744402093,4.601481,NN,5,compound:nn,2.715695 1.489001 0.4321387 4.601481 5.845293 1.081215 3.001107 1.21269 5.580045 1.409219,2.73678847,,7.1602148846304,,2,1,0,0.0,0.4321387
