non_cs_sentences_surps,cs_sentences_before_cs_surp,cs_sentences_cs_back_surp,cs_sentences_after_cs_surp,sample_zhwiki_surp
7.1598167,7.3514414,6.3702464,7.3514414,6.6841683
6.6978993,7.1670523,6.8685575,7.1598167,4.249358
4.3877687,7.1598167,7.310274,7.1807833,7.2105746
7.2360053,7.3514414,7.310274,7.3514414,7.1735477
7.1670523,7.0391965,7.310274,6.119012,4.1803713
4.1666403,3.4482763,7.3514414,7.3514414,6.6318607
5.9779387,7.3514414,4.3535395,3.9106045,6.6978993
6.71046,7.1670523,5.096284,7.4291463,3.086436
7.1807833,7.1670523,7.3514414,7.1807833,7.5923696
7.1670523,6.3825297,7.3514414,6.8726544,7.1735477
7.1598167,7.1735477,3.5775623,7.302313,5.969912
3.0268083,4.34258,7.3514414,6.572656,7.1807833
6.8569107,6.1227274,7.3514414,5.239348,4.1787114
6.4139285,7.182614,6.51126,7.2971773,6.5976458
7.1807833,7.1598167,7.310274,7.1598167,4.7230463
7.1670523,7.1735477,7.3514414,7.1807833,6.366254
3.0130775,7.1807833,7.3514414,7.1598167,6.807514
7.3514414,5.956181,7.3514414,7.1735477,5.3477836
6.4618325,4.2424345,6.3906245,7.1807833,4.2134566
4.1759996,6.3906245,7.3514414,7.1670523,7.2105746
6.9234123,6.8863854,5.320925,7.1670523,3.0268083
7.1735477,4.1897306,7.3514414,7.3514414,6.695786
6.572656,6.734926,7.310274,7.1670523,4.2576666
7.1807833,7.1807833,4.3535395,7.3514414,6.757104
3.0130775,7.1670523,4.3535395,7.1670523,5.3249917
7.3514414,6.3825297,4.3535395,6.8685575,4.3653274
5.225617,7.1735477,5.320925,4.1897306,6.7926903
7.289942,6.8863854,6.8685575,7.2105746,7.1735477
6.8863854,6.8863854,4.430604,6.1741686,4.1897306
3.5593736,7.1807833,5.769229,7.1807833,7.21781
6.954986,5.0917993,7.344206,4.1759996,5.3340526
3.1555736,5.337871,4.8926983,7.21781,4.2040973
7.3514414,7.275574,7.344206,7.1670523,5.852949
3.7712631,4.1759996,7.344206,7.1598167,7.288997
4.1666403,7.21781,7.310274,6.6978993,4.3877687
7.2327523,7.3514414,5.0079174,7.1807833,6.9416075
4.1803713,7.1670523,7.0391965,6.195564,4.516534
6.94559,7.1670523,7.3514414,7.5484495,7.22877
4.1803713,5.984225,7.3514414,6.6841683,4.3877687
7.239988,6.266415,7.3514414,7.1807833,6.9416075
7.1670523,7.1807833,3.5775623,6.8726544,3.4306083
5.225617,7.1670523,6.1282105,7.302313,6.7665
4.2967653,7.1670523,7.3514414,7.1807833,7.1807833
6.534768,7.1670523,4.3535395,7.1670523,3.0130775
7.1807833,6.2574387,7.3514414,5.7636557,7.7176127
5.1226797,7.1807833,7.3514414,7.2801642,4.8085637
7.3514414,7.1670523,7.310274,6.572656,7.383801
3.4168775,7.1670523,4.3535395,7.1807833,7.1670523
7.249384,5.580385,7.3514414,7.3514414,4.1759996
