,original_sentence,cs1_index,cs2_index,distance
1286,leasing office 就 在 lobby ， 员工 也 非常 好 ， 有 什么 问题 随时 可以 找 他们 沟通 解决 。,0,4,4
1287,环境 安静 ， apartments 评分 9 .,3,4,1
1288,［ 治安 ］ 附近 治安 好 ， 公寓 有 doorman ， 收发 快递 也 方便 。,9,11,2
1289,优点 ： 我 的 卧室 是 整 个 house 最 大 的 卧室 ， 两 扇 窗 采光 好 ， 冬天 暖气 也 很 足 ， 家具 齐全 ， 拎包 入住 ；,8,9,1
1290,房租 lease 到 7 .,1,2,1
1291,二 楼 是 三 间 卧室 和 一 个 full 的 卫生间 。,9,10,1
1294,房东 非常 nice ， 有 需要 和 修理 会 马上 处理 。,2,4,2
1295,联系 电话 or text ： 412-6518342 jane,2,5,3
1296,有 attached 车库 可 用 。,1,2,1
1297,安装 有 智能 panel ， 可以 远程 手机 调控 暖气 温度 和 开关 。,3,5,2
1298,【 车库 】 ： attached 车库 。,4,1,1
1300,main floor 格局 《 ——————————————————————————— 》 走廊,0,1,1
1302,小区 居民 是 学生 和 年轻 学者 ， 学校 的 shuttle 从 门前 经过 ， 而且 很多 。,10,12,2
1303,装修 好 的 single family house 在 forest hills ， 小区 环境 优美 ， 步行 3-5 分钟 有 两 个 公园 。,1,5,4
1304,rich neighborhood ， 非常 安全 ， 旁边 就 是 公园 ， 环境 很 好 很 安静 。,0,3,3
1306,apt 隶属 franklin west 旗下 ， 物业 管理 良好 ， 有 任何 问题 能 快速 免费 解决 。,0,1,1
1307,manager 非常 好 说话 ；,0,2,2
1309,大家 一起 share 厨房 。,2,4,2
1310,我 是 刚 毕业 没 多久 的 young professional ， 安静 好 相处 ， 会 居家 也 爱 出去 浪 。,7,10,3
1311,从 「 现在 」 开始 租 ， 直接 和 manager 签 合同 ！,9,12,3
1313,房子 共 三 层 ， 出租 的 是 二 楼 的 bedroom ， 二 楼 有 独立 厨房 和 卫生间 。,11,8,1
1314,房租 是 $500 ， 包 水电 暖 网 以及 你 能 想到 的 一切 ， 房东 夫妇 人 非常 nice ， 有 什么 问题 随时 可以 给 他们 打 电话 求助 。,19,21,2
1315,房子 离 frick park 仅 两 个 block ， 去 公园 里 运动 非常 方便 。,7,4,1
1316,免费 送 顶楼 view 和 顶楼 的 阳光 普照 !,3,4,1
1318,如有 需要 可 免费 提供 bedding set ， 餐具 厨具,5,8,3
1319,lobby 有 单独 的 放 快递 的 房间 ， 不 怕 包裹 丢失 ， 非常 贴心 。,0,1,1
1320,小区 环境 安静 ： 有 多 处 playground ， 很 适合 家庭 居住 。,7,9,2
1322,欢迎 text ， 不 能 时时 接 电话 。,1,3,2
1323,house 概况 ： 地上 两 层 、 地下 一 层 ；,0,3,3
1324,门口 有 bus 到 中国 店 等 。,2,3,1
1325,要求 ： security deposit ， 爱 整洁 ， 有 责任感,2,4,2
1326,prefer ： 研究生 或 博士生,0,2,2
1327,公寓 的 管理 非常 好 ， 有 一 个 doorman ， 每 天 出入 公寓 会 给 住户 开门 ！,9,11,2
1328,欢迎 感兴趣 的 妹子 联系 我 拿 floor plan 和 各 种 房子 图片 ~,7,8,1
1330,公寓 有 off street parking 且 允许 养 宠物 。,2,4,2
1332,可以 share 大部分 家用 电器 ， 厨房 用品 ， 家具 等 。,1,2,1
1334,apartment 网站 如下 ：,0,1,1
1338,公寓 有 免费 gym ， 门口 有 免费 停车场 。,3,5,2
1339,拎包 入住 ～ 关于 公寓 信息 就 不 用 多 说 了 吧 ， 那 是 相当 popular ， 相当 好 的 ~~~,17,16,1
1340,preferred 地点 ：,0,3,3
1341,最多 两 人 share 一 个 卫生间,3,4,1
1342,研究生 social work 入学 ， 过去 五 年 在 美国 中部 一 城市 学习 + 工作,1,3,2
1344,available 时间 是 5 .,0,1,1
1347,house 里面 的 一 个 客厅 ， 带 家具,0,3,3
1348,朋友 来 聚餐 ， 开 party 都 有 足够 空间 。,5,6,1
1349,下面 是 自己 对 这个 apartment 的 一些 总结 。,5,6,1
1351,有 车库 ， drive way parking 和 street parking 。,3,5,2
1352,位 于 trees hall 附近 ， 步行 至 trees hall 仅 三 分钟,0,4,4
1354,still available 价格 可以 商议,0,3,3
1355,有 一 个 fireplace ， 中央 空调 。,3,5,2
1356,apartment ， 两 室 一 厅 ， 出租 其中 一 间 卧室 。,0,2,2
1357,apartment 是 一 房 一 厅 ， 一 厨房 ， 一卫浴 。,0,1,1
1358,非常 适合 coupon 或者 一 个 人 ！,2,4,2
1359,现有 两 名 女生 居住 ， 一 名 匹 大 phd ， 另 一 名 匹 大 master ， 都 是 很 好 相处 的 女生 。,17,12,1
1360,apartment : 一 室 一 厅 。,0,2,2
1362,现有 两 匹 大 男生 ， 一 master 一 phd ， 很 好 相处 。,7,6,1
1364,pets 可以 商量 。,0,1,1
1367,周边 ： 附近 有 bar 和 餐厅 ， 还 有 小 超市 。,4,5,1
1368,房租 在 400-500 usd / 月,3,6,3
1369,有床 （ queen size ） 和 桌子 椅子 。,0,7,7
1370,并且 bus stop 的 位置 距离 公寓 只 需 四 分钟 的 时间 。,1,10,9
1372,maintece request 发出 一 两 天 内 就 会 有 人 来 修 。,0,2,2
1376,周边 ： 生活 便利 ， 附近 有 bar 和 餐厅 ， 还 有 小 超市 。,7,8,1
1378,walnut street 上面 的 小店 和 bar 也 不错 ；,6,2,1
1379,楼道 也 每 天 有 management 打扫 ， 维护 ~,5,6,1
1380,apartment 里 有 很多 国人 留学生 ～,0,1,1
1381,卧室 在 house 二 楼 。,2,5,3
1382,( prefer 短信 ),1,3,2
1383,干净 一 居室 的 apartment 出租 ，,4,5,1
1384,house 里面 的 一 个 卧室,0,3,3
1385,house 里面 的 一 个 客厅,0,3,3
1386,floor plan 见 ：,0,1,1
1387,update 联系 方式 ： em@29,0,1,1
1388,single house : 房子 宽敞 明亮 !,0,3,3
1390,厨房 卫生间 ： 可能 与 另 一 个 房间 的 人 share ， 另 一 个 房间 是 女生 ， 匹 大学生 ， 人 很 nice ， 很 爱 干净 。,11,5,1
1391,房间 位 于 house 三 层 楼 的 第三 层 。,1,4,3
1392,up up 房子 依然 available,3,1,2
1393,近 学校 shuttle 站 。,2,5,3
1394,有 车库 ， drive way 也 可以 停车,3,4,1
1395,single house : 全新 装修 ！,0,3,3
1396,lease 可以 从 八月 一日 起 一 年,0,1,1
1397,匹 大 房产 college gardens 两 室 两 卫 的 apartment 。,10,5,2
1399,manager 联系 方式 ：,0,1,1
1401,具体 email 沟通 em@35,1,3,2
1402,apartment 周边 环境 安静 ， 治安 也 比较 好 。,0,1,1
1403,这个 studio 在 三 楼 ， 也 不 面向 大 马路 ， 不 吵 ， 很 安静 。,1,2,1
1406,house 远离 主要 干道 ， 夜间 安静 保证 睡眠 质量 高 。,0,3,3
1408,conditions : 三 层 house 里面 最 大 的 一 间 卧室 。,0,2,2
1410,两 位 非常 nice 的 男生 ， 分别 为 pitt 和 duquesne 研究生 。,3,4,1
1411,别 说 自己 没 天赋 ， have fun 不 需要 天赋 !,6,7,1
1412,female only ， 有意 请 联系 我 。,0,3,3
1413,phone : pn-18 请 短信 ( prefer ),6,2,2
1414,首先 是 容易 找到 month to month 的 一 月 付 房租 。,4,7,3
1415,访 学 的 同学 没 听说 谁 不 签 一 年 lease 就 找 不 到 房子 住 马路 的 。,11,12,1
1416,另 所 有 utility 全 包 。,1,3,2
1417,相当于 免 了 半 个 月 的 房租 ~ 包 水 和 trash ， 免费 停车,12,14,2
1418,非常 方便 ， center 上 就 有 个 giant eagle .,3,4,1
1419,非常 适合 读 summer 但 没有 宿舍 住 的 匹 大学生 和 初 到 匹兹堡 的 任何 学者 ！,3,5,2
1421,apartment 是 一 个 house 的 第二 层 ， 一共 有 三 层,0,1,1
1424,垃圾 有 人 每天 清理 ， 相 比较 住 house 简直 省 时 省力 。,9,12,3
1427,important ] 咨询,0,2,2
1428,我 这 件 卧室 大小 是 大概 可以 放下 两 张 king size 的 床 。,11,15,4
1429,匹兹堡 apartment 卧室 招租 - 限 女生,1,2,1
1432,也 有 校园 shuttle 停 靠 站 。,3,8,5
1433,house 中 的 一 个 最大 房间 ， 租金 为 ： 399$ / 月 。,0,3,3
1434,平时 非常 安静 ， 也 很 少 有 人 干扰 ， 基本 没 人 会 在 这里 开 party 什么 的 ， 非常 适合 学习 。,18,19,1
1435,社区 ： squirrel hill ， 3-9 分钟 步行 可 达 bus stop,11,13,2
1437,每 个 bedroom 里 还 有 两 层 ， 是 个 loft 的 感觉 ， 很 大 。,0,2,2
1438,含 一 个 outdoor parking 固定 车位 ， 不 需要 抢 。,3,5,2
1439,两 个 walk-in closet 非常 宽敞 。,2,4,2
1441,由于 本人 下 学期 要 study abroad ， 现在 需要 将 apartment 从 12 .,5,8,3
1443,要 去 tower 洗 衣服,2,3,1
1444,一 个 studio （ 独立 卫生间 ， 一 个 大厅 包括 厨房 ） 。,2,4,2
1445,这个 apt 非常 好 ， 可能 整个 匹兹堡 都 找 不 到 这么 便宜 的 apt 了 。,1,2,1
1447,出门 一 分钟 到 centre 和 craig 路口 。,4,5,1
1448,刚 装修 过 的 新房 ， 有 back yard ， deck 等,7,11,4
1450,欢迎 email 或者 电话 咨询 信息 照片,1,3,2
1451,松鼠山 有 很多 restaurant ， 吃饭 不 发愁 。,3,5,2
1452,距离 giant eagle 只 有 一 个 block ， 购物 方便 。,6,2,2
1455,lease 到 2016 .,0,1,1
1456,现有 两 匹 大 master ， 一 男生 一 女生 ， 很 好 相处 。,4,6,2
1457,floor plan ( 我 用 模拟 人生 搞 的 = = 就 看 个 结构 吧 实际 颜色 不 是 这样 的 ) ：,0,2,2
1458,有 permit ， 没有 车 ， 但是 想 近期 考 驾照 。,1,3,2
1459,已经 拿到 permit ， 有 车 。,2,4,2
1460,你 还 ， 请 问 可以 share 一下 你 教练 的 联系 方式 吗 ？,6,7,1
1461,在 每 一 次 booking 客人 走 之后 需要 进行 整理 和 清洁 。,4,5,1
1462,area manager 地区 经理,2,3,1
1464,客服 很 nice ， 丢 单 必 补 ， 从不 赖账 ；,2,4,2
1465,有 需要 或 加入 att family plan 的 吗 ？,5,7,2
1467,有 permit ， 没有 车 ， 但是 很 需要 近期 考 驾照 。,1,3,2
1469,remain calm 冷静,0,1,1
1470,use good judgment 机智,0,2,2
1471,然后 就 可以 email 群发 附近 的 dealer 要求 报价 ， 然后 让 他们 互相 beat 。,3,5,2
1472,toilet 厕所 excuse me .,1,2,1
1474,baggage claim 国际 出港 international departure,0,2,2
1475,downtown 有 个 公寓 叫 washington plaza ， view 啊 户型 啊 ， 都 极 好 ， 没有 车 也 有 公交 ， 车位 充足 生活 便利 。,0,1,1
