,original_sentence,cs1_index,cs2_index,distance
138,房东 只 给 了 一 张 house 外 观照 ， 比较 irrelevant 我 就 不 po 了 。,6,7,1
140,整个 house 的 结构 ： 一 楼 是 客厅 、 餐厅 和 厨房 （ 厨房 很 好 ， 夏天 可以 打开 后门 到 阳台 ） 。,1,2,1
141,房子 ： 是 一 个 house ， 有 中央 空调 。,5,8,3
143,一 楼 有 doorman ， 负责 人员 进出 管理 以及 收发 包裹 ， 所以 不用 担心 安全 问题 以及 包裹 丢失 。,3,5,2
144,有 indoor 和 outdoor 的 停车场 ， 而且 周围 的 街区 都 可以 免费 街 pa 。,1,2,1
145,卧室 内 一 个 closet ， 客厅 另 有 一 个 closet 。,4,6,2
146,bedroom 个数 至少 两 个 及 以上 ；,0,1,1
147,apt 或者 house 都 可以 。,0,1,1
148,短期 的 summer lease 也 可 考虑 。,2,5,3
149,如果 有 兴趣 ， 各位 同学 可以 站 内 留言 或者 email ， 告诉 我 对 房子 的 要求 。,11,14,3
150,town house ， 四 卧室 。,0,3,3
152,具体 email 沟通 em@26,1,3,2
153,see new ad 能 麻烦 您 介绍 的 具体 一点 嘛 ？,0,4,4
154,房子 价格 加上 所有 设施 ， 人均 每 月 大概 在 $580~$650 （ 费用 因 gas 包 不 包含 heat 而 变化 ） 。,15,16,1
155,lobby 照片 ， 安全 有 保障,0,1,1
156,这 房子 实在 是 大 到 没 朋友 ， 要 不 是 我 有 lease 在 身 我 都 想 搬 进去 。,14,22,8
158,是 house 的 一 楼 ， 一共 三 间 房 + 厨房 + 客厅 + 卫生间 。,1,2,1
159,进出 lobby 需要 门禁 钥匙 ， 所以 非常 安全 。,1,2,1
160,prefer 女生 ～～～,0,1,1
161,感兴趣 可以 email 或 预约 看 房 email ： em@28,2,4,2
162,房子 floor plan 和 照片 如下 。,1,2,1
163,门口 有 doorman ， 特别 安全 。,2,4,2
164,本人 四月 毕业 ， lease 签到 五月 底 。,4,5,1
165,apartment 水电 暖 全 包 ， 两 人 住 的 话 人均 467 .,0,1,1
167,单独 房间 ， 和 两 个 人 share 一 个 洗手间 ， （ 不过 暑假 可能 有 人 回家 就 人少 了 。,7,8,1
168,在 这里 住 过 的 人 都 拿到 了 很 好 的 工作 offer 如 有 兴趣 可 email : em@32,7,14,7
169,如果 你们 同学 结伴 而来 ， 愿意 租 整 个 house ( 里面 可能 2-5 个 卧室 的 都 有 ) ， 也 可以 。,8,11,3
170,欢迎 联系 并 告知 租房 要求 （ 简单 自我 介绍 ， 告知 入住 时间 ， 人数 ， 房间 or house 离 学校 远近 ， 预算 ） 。,18,20,2
171,house 有 四 个 房间 一 个 客厅 外加 一 个 阁楼 ， 平时 住 非常 宽敞 ， toc/eoc 的 时候 还 可以 住 客人 ， 完全 不 会 拥挤 。,0,1,1
172,便利 店 ： 走 一 个 block 就 到 韩国 超市 ；,6,7,1
173,餐饮 ： 走 一 个 block 就 到 餐馆 最 多 的 craig 。,5,6,1
174,available now 顶 ！,0,4,4
176,the price : $600 一 个 月 ， 包 水 煤气 暖气 。,0,12,12
177,家具 柜子 ， 书桌 ， 饭桌 ， 椅子 ， 台灯 ， queen size bed ， 配置 齐全 ， 拎包 入住 。,11,14,3
178,本 房间 在 三 楼 ， 居民 邻居 多 是 学生 和 老人 ， leasing office 希望 保持 公寓 居住 环境 ， 所以 不 吵 不 闹 。,14,16,2
179,从 building 进门 开始 全 是 地毯 。,0,4,4
180,doorman service 帮忙 收取 快递 信件 。,0,1,1
181,地毯 刚刚 deep clean 过 。,2,4,2
183,现在 出租 该 house 三 层 的 三 件 卧室 中 的 一 间 。,3,4,1
184,客厅 非常 安静 ， 适合 学习 ， 厅 内 另 有 一 个 walk-in closet 可以 用 。,13,16,3
186,- free parking or paid garage 联系 方式 ： pn-8em@33,0,5,5
187,两 个 houses : house＃1&＃2house＃1 : 代 朋友 发 。,2,4,2
188,utility 和 网络 全 包 。,0,3,3
189,更新 ： 房租 调整 为 大 卧室 $440 / 月 ， 小 卧室 $360 / 月 ， utility 全 包 。,17,20,3
190,可以 协商 move in date ， 一月 开始 随时 入住 ！,2,5,3
194,垃圾 有 人 每天 清理 ， 相 比较 住 house 简直 省 时 省力 。,9,10,1
195,house 共 有 四 个 房间 ， 二 楼 和 三 楼 各 两 个 房间 ， 每 层 有 一 个 卫生间 。,0,1,1
196,人非常 nice ， 整洁 干净 ！,0,4,4
197,我 这 件 卧室 大小 是 大概 可以 放下 两 张 king size 的 床 。,11,15,4
200,我 住 dining room ， 和 living room 有 隔断 。,2,4,2
201,里面 有 三 个 卧室 ： bedroom 1 .,4,7,3
202,含 一 个 outdoor parking 固定 车位 ， 不 需要 抢 。,3,5,2
204,每 个 bedroom 里 还 有 两 层 ， 是 个 loft 的 感觉 ， 很 大 。,0,2,2
205,两 个 walk-in closet 非常 宽敞 。,2,5,3
207,这个 apt 非常 好 ， 可能 整个 匹兹堡 都 找 不 到 这么 便宜 的 apt 了 。,1,2,1
208,地下室 有 洗衣机 ， 不 用 交 quarter 就 能 洗 有 木 有 啊 ！,4,6,2
209,所有 家具 齐全 （ queen size 床 + 书桌 + 转椅 + 衣柜 + 书柜 ） 只 需 提包 入住 。,4,6,2
211,房间 里面 的 现有 queen size 的 大 床 ， 书桌 ， 书架 ， 衣柜 ， 穿衣镜 ， 完全 的 拎包 入住 。,4,2,2
212,我 在 其中 一 处 住 将近 三 年 ， 附近 治安 良好 ， 房东 很 nice ， 有 事 会 提前 通知 住户 。,16,18,2
213,前面 打算 租房 的 学生 ， 因 签证 check ， 无法 确定 入住 时间 。,8,10,2
214,两 层 house ， 卧室 两 个 ， 一 大 一 小 ， 现在 出租 大 卧室 。,2,5,3
215,房型 是 一 室 一 厅 （ 包括 bath 和 kitchen ， 全 独立 ） 。,8,9,1
216,update ： 已 租 ， 谢谢 ！,0,2,2
217,两 层 house ， 卧室 两 个 ， 一 大 一 小 。,2,4,2
218,house 另 一 户 内 还有 大小 房间 可 供 选择 。,0,1,1
219,出租 客厅 / 卧室 ， 房间 面积 大 采光 好 ， floor plan 非常 好 ， 卧室 客厅 无 连通 互 不 影响 。,11,12,1
220,rooms : 家居 齐全 。,0,2,2
222,所有 家具 用品 都 包 ， 包括 paper napkin ， paper towel ， 厨房 用具 ， 洗浴 永平 随便 用 。,7,10,3
223,有意 请 email 房东 至 em@39,2,4,2
224,毕竟 共 用 bathroom ， 还是 同性 的 方便 点 。,1,4,3
226,是 一 个 house 里面 的 卧室 。,3,4,1
228,房子 是 三 层 的 house ， 一 层 客厅 ， 厨房 和 餐厅 。,0,7,7
229,house 我们 住 了 一 年 ， 性价比 非常 高 ， 上学 ， 吃饭 ， 逛街 都 非常 方便 。,0,1,1
230,有 一 个 后院 ， 两 个 车库 share ， 不过 街 pa 最 方便 。,5,10,5
231,原 房东 post 的 帖子 ：,2,3,1
