retrained_eng_ngram_surp,retrained_zh_ngram_surp
1.7739124,7.1807833
4.1789927,7.1807833
7.8715386,5.969912
7.518923,7.2818627
3.311642,7.583359
3.469161,7.3514414
5.7923355,7.1670523
5.5129933,5.8907514
4.631929,7.239988
2.5479746,7.2360053
4.3083296,7.21781
3.6833494,7.1670523
3.5297256,7.1670523
3.8629215,7.3514414
7.2275176,7.21781
0.97419655,7.1807833
4.0185246,7.21781
2.7671328,5.7335825
4.671775,7.1670523
1.7008679,5.0407577
8.908801,7.0391965
4.6590843,7.1735477
5.200852,6.8726544
8.083422,7.1807833
7.7004404,7.3514414
4.732427,7.756819
6.2010756,7.3514414
3.2451508,6.6978993
