,Unnamed: 0,word_freq_zh,cs_word_pos_zh,cs_word_length_zh,ngram_surp_zh,zh_word_index
1073,1073,9.55418322723403,CD,1,12.3296693,5
1074,1074,11.4721846033347,NN,2,16.0653718,1
1075,1075,14.7984297399724,VV,2,17.4753668,3
1076,1076,16.1607420534637,NN,2,14.9124086,1
1077,1077,6.51320196568733,P,1,6.4821228,2
1078,1078,34.6447113041096,NR,2,18.6217038,3
1079,1079,9.08171248557967,CD,1,12.5681356,2
1080,1080,3.9353155417727903,DEG,1,1.965926,4
1081,1081,7.66017748945888,AD,1,13.0853113,7
1082,1082,16.0222554710459,VV,2,14.8984296,3
1083,1083,34.6447113041096,NR,4,14.702105,2
1084,1084,3.9353155417727903,DEG,1,6.912757,7
1085,1085,8.84868469560169,AD,1,13.0230673,12
1086,1086,10.7071969438395,VA,1,13.8598537,3
1087,1087,15.9612848650788,VA,2,15.9800833,14
1088,1088,7.95865043824743,DT,1,11.9830939,4
1089,1089,9.10457690830496,AD,1,14.138764,5
1090,1090,6.43900552066259,VC,1,7.1775366,1
1091,1091,15.7368524272206,AD,2,20.7884357,12
1092,1092,13.8076208478473,NN,2,17.788689,2
1093,1093,3.9353155417727903,DEG,1,27.393154,15
1094,1094,18.975161840654,NN,2,14.2204048,2
1095,1095,15.1522967210874,VV,1,12.6346137,8
1096,1096,7.59803487376475,NR,1,7.3016398,3
1097,1097,10.2989227538311,PN,2,17.8638364,19
1098,1098,15.5625388682279,CD,2,7.9827869,13
1099,1099,10.6617596693198,LC,1,5.041219,2
1100,1100,13.1548432589154,JJ,2,15.4334368,5
1101,1101,11.9624804954081,AD,2,13.1089209,4
1102,1102,11.0028350708453,NT,2,11.7815243,8
1103,1103,17.9538812066677,VV,1,18.4071135,3
1104,1104,12.0314258704241,VA,2,14.9522023,4
1105,1105,11.9624804954081,AD,2,14.3283904,2
1106,1106,6.75356366123813,CC,1,8.0794018,5
1107,1107,9.40854455711843,VV,1,6.9309452,11
1108,1108,11.300351591512,CC,2,8.5971207,3
1109,1109,15.774578406365,VV,2,19.2191861,5
1110,1110,10.9492421292194,AD,1,11.9766447,2
1111,1111,8.30852029261678,VV,1,9.431483,1
1112,1112,6.9939943419764,CD,1,12.5281382,6
1113,1113,8.2849017013646,PN,1,13.0086953,2
1114,1114,9.25303225835442,AD,2,10.3921189,3
1115,1115,7.40823627459694,VE,1,9.0025407,4
1116,1116,13.2083672768874,AD,2,14.811999,7
1117,1117,16.0184639763286,NN,2,17.8492159,5
1118,1118,10.1299238826036,NN,2,15.9507503,0
1119,1119,18.1912798936797,VV,1,19.677096,4
1120,1120,3.9353155417727903,DEG,1,4.3328778,7
1121,1121,9.25303225835442,AD,2,10.3921189,3
1122,1122,16.519999291794,VA,2,9.804478,1
1123,1123,19.5996769259907,NN,2,19.8317961,2
1124,1124,22.8241334214538,NN,2,23.4690722,5
1125,1125,19.3033314755212,NN,2,20.7402704,0
1126,1126,10.5205443084939,NN,2,15.007526,2
1127,1127,7.40823627459694,VE,1,8.1622521,1
