cs_ngram_diff,cs_dep_diff,non_cs_ngram_diff,non_cs_dep_diff
-2.0383174,1.3550641,-0.040461,0.341178
-3.0894492,-0.7069621,-3.51251,1.2305414
0.4329777,1.2368233,0.2819168,-0.2289424
-1.9784043,1.6391587,1.639839,0.644178
-0.0803387,-0.697361,3.579942,0.352908
-2.4700436,-0.4743461,3.483974,-0.8336103
-2.4424987,-1.1065684,-4.6317233,0.6248188
-1.3659392,0.6514086,2.4577775,0.5149713
-1.0206323,0.123054,1.1894641,0.045836
-1.0613044,-1.891944,3.8822804,-3.521244
-2.69101,-0.8783653,2.2166429,5.7525434
1.829908,-0.960927,1.534368,-6.5098908
-1.9301474,-2.4275426,-0.2079957,-0.688118
-2.69101,-2.4275426,-3.0579883,0.7069621
-1.1465367,-1.4947315,1.8006385,-0.2966232
0.2824774,0.5239277,-0.1309554,-1.2570184
-2.1350983,0.9318767,2.1762657,0.2313817
-3.7895254,0.1996094,3.7895254,0.2452217
0.2497635,-1.1855968,0.6591046,0.9042037
-2.5615127,0.1255325,1.2658081,-0.587186
0.6585447,-4.1262856,0.2819168,0.0462805
-2.7727874,0.8869428,-3.0579883,-0.5102547
-3.9611228,0.9708103,0.827964,0.1082053
0.8583212,1.8592453,3.86522087,4.2826245
-1.5085659,0.1996094,2.1762657,-0.0965171
-3.8822804,0.3278773,1.6366884,2.3468266
-0.8843785,0.125098,3.90190587,2.0702834
1.1310157,-0.352908,-0.0240159,-0.3315695
-3.025702,-2.7617869,6.89257237,2.4737015
-0.4037922,-0.7069621,3.90190587,1.891944
-1.4235373,-0.502154,3.12592867,0.882043
-0.8843785,-1.6012668,3.90190587,-0.6451138
-0.8155845,-0.5493817,-1.0825629,0.4482485
-3.579942,-1.8834777,2.6569634,0.6495367
-2.428273,-0.0996006,2.1259346,-1.2362468
0.5258365,-0.3125307,0.5820401,-1.0641921
-3.8822804,-3.2546394,2.5545554,-0.8985909
0.6112615,-0.929033,0.653488,2.3208455
-3.6869654,-0.043776,2.304459,-0.5173602
-1.012224,-1.078975,1.3609662,1.5751834
-0.892649,-0.653317,-0.306716,2.3929995
1.2645712,-0.094965,3.1082666,-2.4096852
-2.9511666,1.3316026,2.1350983,-0.0965171
-2.0591694,-0.0637315,3.8822804,0.7069621
-1.319291,-0.9110333,2.738223,2.4275426
-3.1852711,0.054402,3.6883459,0.7730996
-0.9265359,-0.0940671,-3.9316245,1.0613642
0.5850191,0.1537167,3.86522087,1.04818752
-3.6869654,-0.52231,3.8822804,-0.1628794
0.9803205,-3.7376749,0.909664,-0.7866444
-2.839304,-3.652642,0.021994,2.0123315
1.379179,-0.6264737,-1.8790735,-0.6271243
